Year,Type,Geolocation,Season,CASH COSTS,NON-CASH COSTS,IMPUTED COSTS,TOTAL COSTS,GROSS RETURNS,RETURNS ABOVE CASH COSTS,RETURNS ABOVE CASH AND NON-CASH COSTS,NET RETURNS,NET PROFIT-COST RATIO,Cost per kilogram (pesos),Yield per hectare (kg),Farmgate price (pesos/kg),Population,Annual % Change
2002,Corn,PHILIPPINES,Average,5430,1377,4008,10815,13554,8124,6747,2739,0.25,5.65,1915,7.08,81285572,2.08
2002,Corn,PHILIPPINES,Dry,5255,1355,4535,11145,14096,8841,7486,2951,0.26,5.59,1994,7.07,81285572,2.08
2002,Corn,PHILIPPINES,Wet,5594,1398,3516,10508,13046,7452,6054,2538,0.24,5.7,1842,7.08,81285572,2.08
2002,Palay,PHILIPPINES,Average,9325,6964,5068,21357,27483,18158,11194,6126,0.29,6.7,3188,8.62,81285572,2.08
2002,Palay,PHILIPPINES,Dry,9106,6982,5466,21554,27394,18288,11306,5840,0.27,6.91,3118,8.79,81285572,2.08
2002,Palay,PHILIPPINES,Wet,9549,6946,4667,21162,27573,18024,11078,6411,0.3,6.49,3260,8.46,81285572,2.08
2003,Corn,PHILIPPINES,Average,5827,1317,4602,11746,12907,7080,5763,1161,0.1,6.13,1915,6.74,82942837,2.04
2003,Corn,PHILIPPINES,Dry,5487,1306,4961,11754,14254,8767,7461,2500,0.21,5.43,2163,6.59,82942837,2.04
2003,Corn,PHILIPPINES,Wet,6106,1348,4251,11705,12162,6056,4708,457,0.04,6.67,1755,6.93,82942837,2.04
2003,Palay,PHILIPPINES,Average,9472,7322,5610,22404,29791,20319,12997,7387,0.33,6.65,3370,8.84,82942837,2.04
2003,Palay,PHILIPPINES,Dry,9296,7295,5913,22504,29416,20120,12825,6912,0.31,6.85,3283,8.96,82942837,2.04
2003,Palay,PHILIPPINES,Wet,9656,7320,5296,22272,29944,20288,12968,7672,0.34,6.49,3430,8.73,82942837,2.04
2004,Corn,PHILIPPINES,Average,6849,1775,5088,13712,18593,11744,9969,4881,0.36,6.4,2142,8.68,84607501,2.01
2004,Corn,PHILIPPINES,Dry,6395,1837,5536,13768,20999,14604,12767,7231,0.53,6,2295,9.15,84607501,2.01
2004,Corn,PHILIPPINES,Wet,7295,1722,4654,13671,16761,9466,7744,3090,0.23,6.7,2039,8.22,84607501,2.01
2004,Palay,PHILIPPINES,Average,10645,8075,6049,24769,33198,22552,14478,8428,0.34,7.05,3513,9.45,84607501,2.01
2004,Palay,PHILIPPINES,Dry,10173,7843,6291,24307,32627,22454,14611,8320,0.34,6.95,3497,9.33,84607501,2.01
2004,Palay,PHILIPPINES,Wet,11209,8300,5810,25319,33689,22481,14180,8371,0.33,7.18,3524,9.56,84607501,2.01
2005,Corn,PHILIPPINES,Average,7717,1634,5436,14787,17014,9297,7663,2227,0.15,6.87,2151,7.91,86261250,1.95
2005,Corn,PHILIPPINES,Dry,7438,1660,5859,14957,18442,11004,9344,3485,0.23,6.78,2206,8.36,86261250,1.95
2005,Corn,PHILIPPINES,Wet,7994,1583,5004,14581,15540,7546,5963,959,0.07,6.88,2120,7.33,86261250,1.95
2005,Palay,PHILIPPINES,Average,11871,8992,6523,27386,37423,25552,16560,10037,0.37,7.63,3588,10.43,86261250,1.95
2005,Palay,PHILIPPINES,Dry,11753,8982,6874,27609,38020,26267,17285,10412,0.38,7.68,3597,10.57,86261250,1.95
2005,Palay,PHILIPPINES,Wet,12081,8993,6176,27250,36813,24731,15739,9563,0.35,7.61,3581,10.28,86261250,1.95
2006,Corn,PHILIPPINES,Average,7963,1962,5705,15630,21483,13520,11558,5853,0.37,6.61,2366,9.08,87901835,1.9
2006,Corn,PHILIPPINES,Dry,7764,2023,6170,15957,24447,16683,14660,8490,0.53,6.21,2568,9.52,87901835,1.9
